Date,Region,Report_Text
04/02/2020,CISO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
04/03/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
04/05/2020,ERCO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
04/05/2020,CISO,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.
04/07/2020,CISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
04/08/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/08/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/08/2020,CISO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/09/2020,ERCO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/09/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/09/2020,RF,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
04/10/2020,NYIS,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
04/10/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
04/11/2020,CISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
04/11/2020,CISO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
04/12/2020,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/12/2020,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
04/12/2020,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/12/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/12/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/12/2020,ERCO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/13/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/13/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/13/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/13/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/13/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/13/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/16/2020,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.
04/18/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
04/19/2020,MISO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
04/20/2020,MISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
04/20/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/23/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/23/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/24/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
04/24/2020,CISO,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.
04/25/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
04/26/2020,FPL,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/28/2020,ERCO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
04/29/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/29/2020,ERCO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
04/30/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
05/04/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
05/08/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
05/13/2020,RF,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
05/13/2020,CISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
05/14/2020,CISO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
05/15/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
05/16/2020,ERCO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
05/18/2020,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
05/18/2020,CISO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
05/19/2020,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.
05/19/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
05/19/2020,SPP,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
05/20/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
05/22/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
05/24/2020,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more."
05/25/2020,ERCO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
05/27/2020,ERCO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
05/27/2020,ERCO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
05/29/2020,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
05/29/2020,MISO,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center."
05/29/2020,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.
05/30/2020,ERCO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
05/31/2020,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.
05/31/2020,RF,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center."
06/02/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
06/03/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
06/03/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
06/03/2020,MISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
06/03/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
06/09/2020,CISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
06/10/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
06/10/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
06/10/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
06/12/2020,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
06/18/2020,CISO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
06/18/2020,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.
06/21/2020,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.
06/22/2020,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
06/25/2020,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
06/26/2020,MISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
06/26/2020,ERCO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
06/27/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
06/29/2020,SPP,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
06/30/2020,CISO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
07/01/2020,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
07/02/2020,CISO,Fuel supply emergencies that could impact electric power system adequacy or reliability.
07/06/2020,NYIS,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
07/06/2020,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
07/07/2020,CISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
07/07/2020,CISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
07/07/2020,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
07/08/2020,ERCO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
07/08/2020,CISO,Fuel supply emergencies that could impact electric power system adequacy or reliability.
07/09/2020,CISO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
07/11/2020,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more."
07/11/2020,SPP,"Loss of electric service to more than 50,000 customers for 1 hour or more."
07/11/2020,CISO,Fuel supply emergencies that could impact electric power system adequacy or reliability.
07/12/2020,ERCO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
07/12/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
07/13/2020,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
07/14/2020,CISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
07/15/2020,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
07/16/2020,MISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
07/17/2020,SPP,Damage or destruction of its Facility that results from actual or suspected intentional human action.
07/17/2020,NYIS,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
07/19/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
07/19/2020,NYIS,Fuel supply emergencies that could impact electric power system adequacy or reliability.
07/20/2020,ERCO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
07/21/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
07/22/2020,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
07/24/2020,NYIS,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
07/25/2020,ERCO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
07/25/2020,ERCO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
07/28/2020,RF,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
07/30/2020,MISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
08/01/2020,ERCO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/01/2020,CISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
08/01/2020,ERCO,"Damage or destruction of a Facility within its Reliability Coordinator Area, Balancing Authority Area or Transmission Operator Area that results in action(s) to avoid a Bulk Electric System Emergency."
08/02/2020,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
08/03/2020,ERCO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
08/03/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/03/2020,SERC,Complete loss of off-site power (LOOP) affecting a nuclear generating station per the Nuclear Plant Interface Requirements.
08/04/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/04/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/05/2020,ERCO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
08/07/2020,NYIS,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.
08/10/2020,MISO,"Uncontrolled loss of 200 Megawatts or more of firm system loads for 15 minutes or more from a single incident for entities with previous year's peak demand less than or equal to 3,000 Megawatts."
08/10/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/10/2020,MISO,Complete loss of off-site power (LOOP) affecting a nuclear generating station per the Nuclear Plant Interface Requirements.
08/10/2020,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/10/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/10/2020,NYIS,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
08/10/2020,MISO,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.
08/10/2020,MISO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/13/2020,ERCO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/14/2020,CISO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/14/2020,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
08/14/2020,CISO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/14/2020,CISO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/14/2020,MISO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/15/2020,CISO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/15/2020,CISO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/15/2020,CISO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/15/2020,CISO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
08/15/2020,NYIS,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
08/16/2020,ERCO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/16/2020,CISO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/16/2020,CISO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/17/2020,CISO,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.
08/17/2020,CISO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/18/2020,CISO,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center."
08/18/2020,CISO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/18/2020,CISO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
08/18/2020,CISO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/18/2020,ERCO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
08/18/2020,CISO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/19/2020,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
08/19/2020,CISO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/19/2020,CISO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/19/2020,CISO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/20/2020,NYIS,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
08/20/2020,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.
08/20/2020,MISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
08/23/2020,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.
08/23/2020,ERCO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/24/2020,ERCO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
08/25/2020,CISO,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center."
08/27/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/27/2020,SERC,Complete operational failure or shut-down of the transmission and/or distribution of electrical system.
08/27/2020,ERCO,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
08/27/2020,ERCO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/27/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/27/2020,ERCO,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/27/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/27/2020,ERCO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/27/2020,MISO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
08/27/2020,NYIS,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/27/2020,ERCO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/27/2020,ERCO,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
08/27/2020,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
08/27/2020,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more."
08/28/2020,CISO,"Total generation loss, within one minute of: greater than or equal to 2,000 Megawatts in the Eastern or Western Interconnection or greater than or equal to 1,400 Megawatts in the ERCOT Interconnection."
08/28/2020,NYIS,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
08/29/2020,ERCO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
08/31/2020,CISO,Damage or destruction of its Facility that results from actual or suspected intentional human action.
09/01/2020,CISO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
09/03/2020,CISO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
